Date/Time,Whole Building:Total Building Electric Demand [W](TimeStep) 
 01/03  18:00:00,1562.594383
 01/03  18:15:00,1568.012558
 01/03  18:30:00,1567.843426
 01/03  18:45:00,1568.234192
 01/03  19:00:00,1571.335752
 01/03  19:15:00,-1
 01/03  19:30:00,1141.436491
 01/03  19:45:00,1149.164562
 01/03  20:00:00,1147.584458
 01/03  20:15:00,1152.193577
 01/03  20:30:00,812.3583357
 01/03  20:45:00,1157.45157
 01/03  21:00:00,1152.960091
 01/03  21:15:00,1148.500164
 01/03  21:30:00,1130.086953
 01/03  21:45:00,1119.759116
 01/03  22:00:00,1117.522225
 01/03  22:15:00,1130.878502
 01/03  22:30:00,1143.877888
 01/03  22:45:00,1147.057466
 01/03  23:00:00,1150.457752
 01/03  23:15:00,1151.4833
 01/03  23:30:00,1149.870518
 01/03  23:45:00,1151.487927
 01/03  24:00:00,1150.430081
 01/04  00:15:00,1152.522852
 01/04  00:30:00,809.3662965
 01/04  00:45:00,-1
 01/04  01:00:00,1589.184968
 01/04  01:15:00,1579.479366
 01/04  01:30:00,1575.383909
 01/04  01:45:00,1572.444352
 01/04  02:00:00,1572.726269
 01/04  02:15:00,1570.98501
 01/04  02:30:00,1570.037298
 01/04  02:45:00,1569.338824
 01/04  03:00:00,1569.012936
 01/04  03:15:00,1567.509949
 01/04  03:30:00,1567.225173
 01/04  03:45:00,1567.614365
 01/04  04:00:00,1566.443565
 01/04  04:15:00,1514.122453
 01/04  04:30:00,1516.340229
 01/04  04:45:00,1160.997484
 01/04  05:00:00,1570.378168
 01/04  05:15:00,1565.082484
 01/04  05:30:00,1564.983677
 01/04  05:45:00,1564.427651
 01/04  06:00:00,1564.059799
 01/04  06:15:00,1563.782879
 01/04  06:30:00,1562.492936
 01/04  06:45:00,1560.136547
 01/04  07:00:00,1560.874235
 01/04  07:15:00,1549.205635
 01/04  07:30:00,1524.12972
 01/04  07:45:00,1507.663129
 01/04  08:00:00,1503.962314
 01/04  08:15:00,1501.249565
 01/04  08:30:00,1526.716346
 01/04  08:45:00,-1
 01/04  09:00:00,1553.369076
 01/04  09:15:00,1550.168997
 01/04  09:30:00,1551.508043
 01/04  09:45:00,-1
 01/04  10:00:00,1129.10121
 01/04  10:15:00,1136.298931
 01/04  10:30:00,1137.323732
 01/04  10:45:00,1138.662285
 01/04  11:00:00,1140.444551
 01/04  11:15:00,1140.807635
 01/04  11:30:00,1142.219613
 01/04  11:45:00,1141.542003
 01/04  12:00:00,1143.955637
 01/04  12:15:00,1134.729485
 01/04  12:30:00,1117.513638
 01/04  12:45:00,630.3934251
 01/04  13:00:00,661.1263857
 01/04  13:15:00,1129.202115
 01/04  13:30:00,1136.644751
 01/04  13:45:00,1134.658117
 01/04  14:00:00,1134.571594
 01/04  14:15:00,1137.269006
 01/04  14:30:00,1137.446155
 01/04  14:45:00,1137.865429
 01/04  15:00:00,1138.308657
 01/04  15:15:00,1138.590128
 01/04  15:30:00,1139.36339
 01/04  15:45:00,1572.777869
 01/04  16:00:00,1562.547039
 01/04  16:15:00,1133.319972
 01/04  16:30:00,1136.552378
 01/04  16:45:00,1140.779034
 01/04  17:00:00,769.0876047
 01/04  17:15:00,1141.852819
 01/04  17:30:00,1119.717259
 01/04  17:45:00,1111.579061
 01/04  18:00:00,1116.52483
 01/04  18:15:00,1132.479413
 01/04  18:30:00,1139.704613
 01/04  18:45:00,1142.029262
 01/04  19:00:00,1142.222813
 01/04  19:15:00,1143.215982
 01/04  19:30:00,1145.480597
 01/04  19:45:00,1144.015884
 01/04  20:00:00,1145.754951
 01/04  20:15:00,1145.977286
 01/04  20:30:00,1146.328387
 01/04  20:45:00,1145.846356
 01/04  21:00:00,888.9966279
 01/04  21:15:00,1064.784539
 01/04  21:30:00,1126.11957
 01/04  21:45:00,1113.304049
 01/04  22:00:00,1107.617385
 01/04  22:15:00,1123.351209
 01/04  22:30:00,1133.872795
 01/04  22:45:00,1139.789842
 01/04  23:00:00,1141.068377
 01/04  23:15:00,1141.86205
 01/04  23:30:00,1143.230814
 01/04  23:45:00,1144.909562
 01/04  24:00:00,1575.103815
 01/05  00:15:00,1569.489781
 01/05  00:30:00,1565.798448
 01/05  00:45:00,1563.950961
 01/05  01:00:00,1559.024674
 01/05  01:15:00,-1
 01/05  01:30:00,1560.866437
 01/05  01:45:00,1557.842027
 01/05  02:00:00,1555.032494
 01/05  02:15:00,1554.219047
 01/05  02:30:00,1552.995684
 01/05  02:45:00,1554.337673
 01/05  03:00:00,1552.54923
 01/05  03:15:00,1552.303564
 01/05  03:30:00,1552.449281
 01/05  03:45:00,1551.568063
 01/05  04:00:00,1551.080803
 01/05  04:15:00,1550.875528
 01/05  04:30:00,1551.061868
 01/05  04:45:00,1550.182092
 01/05  05:00:00,1549.936868
 01/05  05:15:00,-1
 01/05  05:30:00,1557.587419
 01/05  05:45:00,1552.355567
 01/05  06:00:00,1551.494654
 01/05  06:15:00,1549.078807
 01/05  06:30:00,1548.004836
 01/05  06:45:00,1549.655009
 01/05  07:00:00,1548.087511
 01/05  07:15:00,-1
